id;name;strength;health;leadership;speed;initiative;food_consumption;carrying_capacity;revival_cost_after_an_attack_gold;revival_cost_after_defending_silver
1;Automotive;79516;31000;19466;90883;50149;34920;65571;17654;74142
2;Escudo deposit;3491;54823;13252;15951;89764;72764;61281;21473;74627
3;Steel;7313;69428;62444;60111;16297;94573;63935;89377;53844
4;strategize Road;54268;55033;3202;85253;67885;81589;13199;51296;21242
5;optical Account cyan;21383;16114;97829;30342;92582;46081;41514;79956;35515
6;Computer;74862;86429;86064;83243;8595;64547;36490;6990;95786
7;service-desk Dirham 24/7;40449;82266;29504;42379;76821;25541;74231;89423;18433
8;Dynamic;43077;83873;57728;11396;10272;63228;70086;59572;98804
9;calculate Ergonomic;28101;84038;13889;62569;56640;44910;10810;73865;45755
10;Handmade analyzer Valley;34215;13779;97260;60560;43215;20174;11823;55817;95639
